종목코드,종목명,현재가,등락률,3개월수익률,시가총액(억),배당수익률,총보수,NAV,거래량,거래대금
495050,RISE 코리아밸류업,32860.0,0.22876315388134819,-6.108484949527,9726.56,1.0167,0.02,32956.47,59612.0,19.67502083
479080,1Q 머니마켓액티브,53800.0,0.018590816136828406,0.851204490455,9612.984,0.8459,0.06,53799.84,17384.0,9.35194917
0195R0,TIGER 삼성전자단일종목레버리지,11330.0,-0.7446342531756461,-37.534052951763,9466.215,0.0,0.1,11398.41,4062028.0,470.70591339
402970,ACE 미국배당다우존스,14770.0,-1.1047874121191832,-4.963229208952,9423.26,2.9878,0.07,14775.4,164859.0,24.40027365
0117L0,KODEX 26-12 금융채(AA-이상)액티브,10160.0,-0.04918839153959666,0.703629569007,9209.024,0.5217,0.1,10160.87,7086.0,0.72002373
438100,ACE 미국나스닥100미국채혼합50액티브,14727.0,-0.761455525606469,-11.061880570888,9116.013,1.9418,0.25,14718.91,145728.0,21.50551252
475720,RISE 200위클리커버드콜,12790.0,0.7483261126427727,-5.018170361232,8505.35,19.432,0.33,12822.72,337453.0,43.24690643
466940,TIGER 은행고배당플러스TOP10,26770.0,-1.5084621044885946,12.62949587536,8432.55,3.6693,0.36,26826.38,517765.0,138.98346265
0177R0,TIGER 반도체TOP10커버드콜액티브,11700.0,1.1673151750972763,-9.680305087153,8424.0,6.4126,0.46,11714.93,1146725.0,134.8103334
069660,KIWOOM 200,111180.0,0.8389642193097818,-7.145140073497,8338.5,0.9679,0.07,111546.83,140346.0,156.90617035
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,11685.0,-0.9745762711864406,7.028753099676,8214.555,15.9498,0.42,11683.18,1109173.0,129.71938691
487340,ACE 머니마켓액티브,105925.0,0.014162968558209801,0.882527741495,8204.9505,1.3002,0.07,105922.8,4396.0,4.65637839
0048J0,KODEX 미국머니마켓액티브,13320.0,-0.7451564828614009,-11.549276331989,8178.48,4.7249,0.08,13325.04,390470.0,52.12353957
0219E0,KODEX 200커버드콜액티브,8570.0,0.7642563198118754,,8124.36,3.7614,0.5,8587.54,2378472.0,204.83053282
153130,KODEX 단기채권,113335.0,-0.013233348037053375,0.684600241605,8054.71845,2.5305,0.17,113351.56,14787.0,16.76042287
441800,TIME Korea플러스배당액티브,29235.0,-0.2048131080389145,-7.119826944701,8051.319,7.0918,0.83,29289.53,127001.0,37.27727513
144600,KODEX 은선물(H),10770.0,0.4195804195804196,-4.957377477343,7915.95,0.3726,0.73,10783.86,379949.0,40.80811626
462330,KODEX 2차전지산업레버리지,1119.0,11.45418326693227,-31.261811359372,7902.378,0.0,0.61,1135.68,85465465.0,908.65791289
476550,TIGER 미국30년국채커버드콜액티브(H),6782.0,0.3254437869822485,-2.796011543728,7755.217,13.3684,0.47,6778.63,529122.0,35.90204098
0025N0,TIGER TDF2045 적격,11710.0,-0.5520169851380042,-6.563581511552,7664.195,1.1836,0.25,11727.32,219265.0,25.71294347
490590,RISE 미국AI밸류체인데일리고정커버드콜,13725.0,-0.7592190889370932,-13.235487510782,7644.825,21.0183,0.33,13699.59,532940.0,73.18717155
481060,KODEX 미국30년국채타겟커버드콜(합성 H),7455.0,0.06711409395973154,-1.426968045817,7641.375,13.0742,0.32,7472.63,239693.0,17.86512574
272580,TIGER 단기채권액티브,57125.0,0.008753501400560224,0.741138318087,7599.91,0.7651,0.09,57125.23,7769.0,4.43775714
457480,ACE 테슬라밸류체인액티브,18275.0,2.20917225950783,-21.8252726984,7574.9875,2.0341,0.37,18306.11,198708.0,36.29660396
364980,TIGER 2차전지TOP10,10685.0,5.792079207920792,-5.664589790006,7308.54,0.0,0.43,10739.52,3406872.0,354.94440819
434730,HANARO 원자력iSelect,62130.0,2.296863423067424,-3.507055155441,7300.275,0.4347,0.52,62284.76,237405.0,149.80764717
0061Z0,RISE 단기특수은행채액티브,51020.0,0.009801038910124474,0.728567023446,7209.126,1.1997,0.02,51022.98,892.0,0.455099
290130,RISE ESG사회책임투자,48745.0,0.9735888140859659,-6.685993058192,6921.79,0.3523,0.33,48847.55,108801.0,53.36993395
367760,RISE 네트워크인프라,59020.0,1.6097099078936041,-19.217234359348,6905.34,0.0961,0.51,59233.72,136073.0,81.18903866
456610,TIGER 미국달러SOFR금리액티브(합성),58075.0,-0.6245722108145106,-11.408318103144,6881.8875,0.0701,0.07,58082.37,24183.0,14.07531893
0167B0,SOL 200타겟위클리커버드콜,12035.0,0.6270903010033445,-7.086096273383,6871.985,8.4246,0.31,12073.98,514511.0,62.26151556
102970,KODEX 증권,18270.0,-0.05470459518599562,-18.369483361924,6869.52,2.6657,0.46,18294.0,327674.0,60.08720667
495850,KODEX 코리아밸류업,32585.0,0.26153846153846155,-6.280100232759,6859.1425,1.1202,0.02,32696.83,85402.0,27.93601973
458760,TIGER 미국배당다우존스타겟커버드콜2호,10605.0,-0.9341429238673518,-5.041644346189,6819.015,10.0711,0.45,10612.99,210614.0,22.37393283
371460,TIGER 차이나전기차SOLACTIVE,9390.0,-1.1578947368421053,-27.62757896588,6768.312,1.4445,0.55,9393.79,151024.0,14.26799391
